STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1980,,10.33,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1981,,9.91,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1982,,9.85,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1983,,9.87,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1984,,9.91,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1985,,9.55,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1987,,11.37,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1988,,11.6,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1989,,11.72,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_NURSE(1.0),Nurses,I,AUS,Australia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,MINU,Nurses,_Z,Not applicable,P,Practicing,_Z,Not applicable,1990,,11.63,,,,,,,,,,,,,
